country;Accesion ID;Subtype;Insert
Thailand;AFU28737.1;CRF01_AE;Insert 1
Thailand;AFU28711.1;CRF01_AE;Insert 1
Thailand;AFU28717.1;CRF01_AE;Insert 1
Thailand;AFU28733.1;CRF01_AE;Insert 1
Thailand;AFU28693.1;CRF01_AE;Insert 1
Thailand;AFU28721.1;CRF01_AE;Insert 1
Thailand;AFU28699.1;CRF01_AE;Insert 1
Thailand;AFU28729.1;CRF01_AE;Insert 1
Thailand;AFU28705.1;CRF01_AE;Insert 1
Thailand;AFU28725.1;CRF01_AE;Insert 1
Kenya;ALB06757.1;G;Insert 2
India;ACL98861.1;C;Insert 3
India;ACL98864.1;C;Insert 3
India;ACL98860.1;C;Insert 3
India;ACL98859.1;C;Insert 3
India;AKR75206.1;C;Insert 4
